Category,Category_n,protected,on_island,plantation,Region,area,perimeter,x,y
"1",Top,NO,NO,NO,NAsia,0.000773893901624,0.106423079393722,111.0614555863,58.4741345254
"1",Top,NO,NO,NO,NAsia,0.000897009717846,0.118848659822493,80.3831038360,63.1849462173
"1",Top,NO,NO,NO,NAsia,0.000897189628176,0.118867057667503,80.0782612763,63.1907354862
"1",Top,YES,NO,NO,NAsia,0.000861825555376,0.115272535166635,64.2412600320,61.9967418992
"1",Top,NO,NO,NO,NAsia,0.000704683148797,0.099555661193572,87.6235337297,54.9547495999
"1",Top,NO,NO,NO,NAsia,0.000699593791069,0.099053833339218,106.0224971181,54.6605873534
"1",Top,NO,NO,NO,NAsia,0.000804512395007,0.109489206739856,100.1024357961,59.8018224413
"1",Top,NO,NO,NO,NAsia,0.000656544996218,0.094837486194795,119.7744628326,51.9488008383
"1",Top,NO,NO,NO,NAsia,0.000597063460191,0.089091120659918,136.2354416862,47.3327129957
"1",Top,NO,NO,NO,NAsia,0.000570775898268,0.086582438469582,134.6841607963,44.8476999314
"1",Top,NO,NO,NO,NAsia,0.000738870330679,0.102934543765511,160.0310207861,56.7924814042
"1",Top,NO,NO,NO,NAsia,0.000673391781675,0.096483351768450,157.1210923052,53.0647857043
"1",Top,NO,NO,NO,NAsia,0.000777336588271,0.106766230422253,136.1439382973,58.6305890047
"1",Top,NO,NO,NO,NAsia,0.000849054613354,0.113981291024526,135.6372887018,61.5378900996
"1",Top,NO,NO,NO,SAmerica,0.000410277923152,0.071815519928276,-62.0117391818,9.5001794799
"1",Top,NO,NO,NO,SAmerica,0.000407833190451,0.071599581268132,-59.9185801271,7.1627493864
"1",Top,NO,NO,NO,SAmerica,0.000405802673015,0.071420471103165,-63.4838867792,4.3237170562
"1",Top,NO,NO,NO,SAmerica,0.000404837983801,0.071335341363549,-54.1160238952,1.7286612537
"1",Top,NO,NO,NO,SAmerica,0.000404775540467,0.071329783479276,-64.4600460428,-1.4065610147
"1",Top,NO,NO,NO,SAmerica,0.000405223488698,0.071369191489602,-71.5853399711,-3.0509368007
"1",Top,NO,NO,NO,SAmerica,0.000406486800074,0.071480657047279,-69.7926659140,-5.4304885200
"1",Top,NO,NO,NO,SAmerica,0.000408724340673,0.071678245007836,-64.8234498613,-8.0963795142
"1",Top,NO,NO,NO,SAmerica,0.000408659430462,0.071672535849244,-59.5587986360,-8.0316821642
"1",Top,NO,NO,NO,SAmerica,0.000409649467713,0.071760058468513,-43.5462096730,-8.9687698381
"1",Top,NO,NO,NO,SAmerica,0.000416279526519,0.072347122311621,-69.3556706798,-13.5702341667
"1",Top,NO,NO,NO,SAmerica,0.000418968830274,0.072586041021898,-63.0704193446,-15.0236041442
"1",Top,NO,NO,NO,SAmerica,0.000412697521824,0.072029670554222,-59.8404389387,-11.3446228933
"1",Top,NO,NO,NO,SAmerica,0.000413278682743,0.072081252747176,-53.2925874409,-11.7321370915
"1",Top,NO,NO,NO,SAmerica,0.000428747477144,0.073457511040229,-58.4644837971,-19.2938568015
"1",Top,NO,NO,NO,SAmerica,0.000445151636086,0.074930569164879,-64.5561135848,-24.6347918961
"1",Top,NO,NO,NO,SAmerica,0.000534958524668,0.083200603243422,-72.0263063950,-40.8501823995
"1",Top,NO,NO,NO,SAmerica,0.000447342287089,0.075128224541619,-53.7607085010,-25.2354553172
"1",Top,NO,NO,NO,SAsia,0.000456172718486,0.075927201175823,84.5032184756,27.4949760020
"1",Top,NO,NO,NO,SAsia,0.000455907654896,0.075902976457998,90.3200303866,27.4310671975
"1",Top,NO,NO,NO,SAsia,0.000456000179611,0.075911585763228,91.8429610872,27.4523651588
"1",Top,NO,NO,NO,SAsia,0.000459233344827,0.076204676967364,94.2867675642,28.2171015533
"1",Top,NO,NO,NO,SAsia,0.000448729521850,0.075253277794031,93.3642397296,25.6066255052
"1",Top,NO,NO,NO,SAsia,0.000416296945446,0.072348730511965,75.0677356881,13.5849015548
"1",Top,NO,NO,NO,SAsia,0.000415156632357,0.072247541833617,75.5587152243,12.9143584512
"1",Top,NO,NO,NO,SAsia,0.000414601672503,0.072198327597285,75.6738708564,12.5777572995
"1",Top,NO,NO,NO,SAsia,0.000411190967498,0.071896304494798,76.9885936963,10.2362338178
"1",Top,NO,NO,NO,SAsia,0.000409903555862,0.071782505691934,77.1915413763,9.1895463194
"1",Top,NO,NO,NO,SAsia,0.000424797986625,0.073105101034081,81.6319765911,17.7190752373
"1",Top,NO,NO,NO,SAsia,0.000413475728237,0.072098588114500,78.6273634696,11.8597166100
"1",Top,NO,NO,NO,SAsia,0.000435971176216,0.074104610659376,86.4981299961,21.8531034558
"1",Top,NO,NO,NO,SAsia,0.000462733564063,0.076523132718989,81.8526992589,29.0152747928
"1",Top,NO,NO,NO,SAsia,0.000486083745272,0.078658690172370,75.4366904722,33.6438066758
"1",Top,NO,NO,NO,SAsia,0.000461967872297,0.076453124439508,95.5237227380,28.8421620609
"1",Top,NO,YES,NO,Africa,0.000422485390743,0.072899047658963,48.9175259674,-16.7117884769
"1",Top,NO,YES,NO,Africa,0.000424652502659,0.073092111221937,48.7397298413,-17.6592143448
"1",Top,NO,YES,NO,Africa,0.000424796398590,0.073104833074531,48.9210043207,-17.7167828937
"1",Top,NO,YES,NO,Africa,0.000419820260447,0.072661731145346,50.2562904447,-15.4437480789
"1",Top,NO,YES,NO,Africa,0.000426223475472,0.073232263693304,48.6429253831,-18.3101842284
"1",Top,NO,YES,NO,Africa,0.000426828224647,0.073286150973860,48.5385552949,-18.5473056692
"1",Top,NO,YES,NO,Australia,0.000550135251160,0.084628978697119,146.1341009177,-42.6473203470
"1",Top,NO,YES,NO,Australia,0.000405271116364,0.071373458762961,139.4450056414,-3.1863729626
"1",Top,NO,YES,NO,Australia,0.000405311775637,0.071377110297846,126.1319513110,-3.3005870946
"1",Top,NO,YES,NO,Australia,0.000404678375602,0.071321250954457,115.0439662431,0.5838044266
"1",Top,NO,YES,NO,Australia,0.000425813360835,0.073195665615155,121.9145036375,18.1364096376
"1",Top,NO,YES,NO,Australia,0.000405830053126,0.071422764708533,151.6514929598,-4.3966445922
"1",Top,NO,YES,NO,Australia,0.000513400101227,0.081185705591072,177.7130781773,-37.9827251832
"1",Top,NO,YES,NO,Australia,0.000560702457278,0.085627736319381,169.2527049428,-43.8072759977
"1",Top,NO,YES,NO,Australia,0.000408008304021,0.071614987128169,142.1714036574,-7.3648705714
"1",Top,NO,YES,NO,Australia,0.000405163263991,0.071364014956733,102.2848001122,-2.8987530455
"1",Top,NO,YES,NO,NAsia,0.000640614424810,0.093290057641521,142.9334739880,50.8273685870
"1",Top,NO,YES,NO,SAmerica,0.000428390852107,0.073425921373634,-71.1775145844,19.1669015358
"1",Top,NO,YES,NO,SAmerica,0.000428236520179,0.073411991010841,-70.9934936906,19.1059236206
"1",Top,NO,YES,NO,SAsia,0.000437846885234,0.074273015442881,89.5247853142,22.4569229749
"1",Top,NO,YES,NO,SAsia,0.000409033668120,0.071705594709136,79.9679373081,8.3874486051
"1",Top,NO,YES,NO,SAsia,0.000408346398501,0.071644893889550,80.8704862021,7.7244765962
"1",Top,NO,YES,NO,SAsia,0.000407333104988,0.071555339192370,81.4105378819,6.5913384404
"3",DOWN,NO,NO,NO,EastAsia,0.000462314697188,0.076485091709693,103.9492221987,28.9271870578
"3",DOWN,NO,NO,NO,EastAsia,0.000460381686253,0.076309173011367,104.1931575110,28.4827641531
"3",DOWN,NO,NO,NO,EastAsia,0.000453330290156,0.075669580492923,108.6673264421,26.7936541738
"3",DOWN,NO,NO,NO,EastAsia,0.000450970085467,0.075455691157228,110.5400192804,26.1938303356
"3",DOWN,NO,NO,NO,EastAsia,0.000445490512220,0.074961079570914,109.6513867177,24.7248834625
"3",DOWN,NO,NO,NO,EastAsia,0.000445038334647,0.074920112783975,108.5692334120,24.5950866630
"3",DOWN,NO,NO,NO,EastAsia,0.000469978917863,0.077182991310484,119.8149027602,30.5697064263
"3",DOWN,NO,NO,NO,EastAsia,0.000446727255394,0.075072538820056,107.8796142169,25.0662450091
"3",DOWN,NO,NO,NO,EastAsia,0.000486104733909,0.078660741127239,110.7012580086,33.6484934188
"3",DOWN,NO,NO,NO,EastAsia,0.000482412095607,0.078321718310764,110.8987975749,32.9873215469
"3",DOWN,NO,NO,NO,EastAsia,0.000482501445049,0.078329618130146,110.6831907228,32.9976883055
"3",DOWN,NO,NO,NO,EastAsia,0.000481378461473,0.078226608577994,111.4041684843,32.7947444156
"3",DOWN,NO,NO,NO,EastAsia,0.000483309042693,0.078404086169685,110.3145731000,33.1491869719
"3",DOWN,NO,NO,NO,EastAsia,0.000460438702476,0.076314265811976,105.3918989788,28.4994415435
"3",DOWN,NO,NO,NO,EastAsia,0.000460750868115,0.076342679531198,105.2957688572,28.5670050395
"3",DOWN,NO,NO,NO,EastAsia,0.000460942273321,0.076359993201000,105.4317242402,28.6116216693
"3",DOWN,NO,NO,NO,EastAsia,0.000461112021640,0.076375810108484,105.2051315375,28.6526035448
"3",DOWN,NO,NO,NO,EastAsia,0.000460405203739,0.076311333894397,105.1474532799,28.4921999690
"3",DOWN,NO,NO,NO,EastAsia,0.000458480847101,0.076136608752057,104.7699662010,28.0462234045
"3",DOWN,NO,NO,NO,EastAsia,0.000459184719148,0.076200533409003,104.0984267770,28.2085118794
"3",DOWN,NO,NO,NO,EastAsia,0.000461223131651,0.076385710034784,103.6808452728,28.6772537736
"3",DOWN,NO,NO,NO,EastAsia,0.000458726907937,0.076158769740803,104.0740308395,28.0998073675
"3",DOWN,NO,NO,NO,EastAsia,0.000458540008822,0.076141989435391,104.3389289042,28.0591018117
"3",DOWN,NO,NO,NO,EastAsia,0.000459835922356,0.076259525501605,104.2098390888,28.3604349702
"3",DOWN,NO,NO,NO,EastAsia,0.000459701468117,0.076247376674735,104.8717655033,28.3290102108
"3",Down,NO,NO,NO,Africa,0.000407472115569,0.071567685485367,20.0628804775,-6.7595307007
"3",Down,NO,NO,NO,Africa,0.000407398440146,0.071561139675946,20.3128192854,-6.6613309809
"3",Down,NO,NO,NO,Africa,0.000407744503420,0.071591666161223,19.6810276380,-7.0463202644
"3",Down,NO,NO,NO,Africa,0.000408368280361,0.071646792003573,21.8491608695,-7.7398968598
"3",Down,NO,NO,NO,Africa,0.000408769531219,0.071682240870671,21.2877330723,-8.1477744096
"3",Down,NO,NO,NO,Africa,0.000410032573313,0.071793815820334,36.0924934322,-9.2835309235
"3",Down,NO,NO,NO,Africa,0.000409945825169,0.071786225355420,36.0856271439,-9.2245703447
"3",Down,NO,NO,NO,Africa,0.000409931172129,0.071784883176232,36.1340356389,-9.2150813717
"3",Down,NO,NO,NO,Africa,0.000409870314058,0.071779528895315,36.1343788191,-9.1557700487
"3",Down,NO,NO,NO,Africa,0.000410077532990,0.071797890548338,35.8058907495,-9.3413948405
"3",Down,NO,NO,NO,Africa,0.000410334213598,0.071820587110312,35.8530940837,-9.5481988223
"3",Down,NO,NO,NO,Africa,0.000410197502418,0.071808454960929,36.0247556178,-9.4347602022
"3",Down,NO,NO,NO,Africa,0.000410840596913,0.071865391554186,36.0267007277,-9.9622355486
"3",Down,NO,NO,NO,Africa,0.000407272698936,0.071550024486953,15.1624772822,-6.4875269786
"3",Down,NO,NO,NO,Africa,0.000407830477847,0.071599258755677,15.2641008509,-7.1474965904
"3",Down,NO,NO,NO,Africa,0.000409542407141,0.071750531550395,15.5455768803,-8.8786072726
"3",Down,NO,NO,NO,Africa,0.000408304364782,0.071641157074883,36.5527105495,7.6687967660
"3",Down,NO,NO,NO,Africa,0.000407222479595,0.071545609014028,35.7956175893,6.4470058570
